SSDA Sea &;Sun Techn;ology's Sta;ndard Data;Acquisiti;on softw;are packa;ge rev 2.18;1.06;0.2015;;;
C:\SST_SDA\;CONFIG\CT;M980.SPJ;;;;;;;;;;
19-4-2021 00:00;16:16:30;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
StandardDat;aAcquisit;ion SDA (C);opyright b;y T. Finge;r 1999-2;15;;;;;;
;;;;;;;;;;;;
001 CTM980;001  P  P;ress  dbar;-51.364.800;0,00E+00;17.754;3000000E-;0002  1.8629;0;0,00E+00;0;0,00E+00;0.00000000000E+0000  0.00000000000E+0000
82;16:07:02;19-4-2021;1.08;0.224;0.0322;104.3;15.12;7.21;0.17;-0.05;0.0249;11.77
83;16:07:02;19-4-2021;1.1;0.224;0.0322;104.25;15.11;7.21;0.17;-0.05;0.0249;11.77
84;16:07:02;19-4-2021;1.1;0.226;0.0322;104.3;15.12;7.21;0.17;-0.05;0.0249;11.77
85;16:07:03;19-4-2021;1.06;0.224;0.0322;104.37;15.13;7.21;0.17;-0.05;0.0249;11.77
86;16:07:03;19-4-2021;1.06;0.224;0.0322;104.31;15.12;7.22;0.17;-0.05;0.0249;11.77
87;16:07:03;19-4-2021;1.08;0.225;0.0322;104.25;15.11;7.22;0.17;-0.05;0.0249;11.77
88;16:07:03;19-4-2021;1.1;0.226;0.0322;104.2;15.11;7.22;0.17;-0.05;0.0249;11.77
89;16:07:03;19-4-2021;1.12;0.226;0.0322;104.11;15.09;7.22;0.16;-0.05;0.0249;11.76
90;16:07:03;19-4-2021;1.15;0.226;0.0322;103.95;15.07;7.22;0.17;-0.04;0.0249;11.76
91;16:07:03;19-4-2021;1.17;0.226;0.0322;103.84;15.05;7.22;0.18;-0.05;0.0249;11.77
92;16:07:04;19-4-2021;1.19;0.226;0.0322;103.76;15.04;7.22;0.18;-0.05;0.0249;11.77
93;16:07:04;19-4-2021;1.19;0.225;0.0322;103.51;15.01;7.22;0.17;-0.05;0.0249;11.77
94;16:07:04;19-4-2021;1.2;0.226;0.0322;103.47;15;7.22;0.16;-0.05;0.0249;11.77
95;16:07:04;19-4-2021;1.17;0.224;0.0322;103.56;15.01;7.22;0.16;-0.04;0.0249;11.77
96;16:07:04;19-4-2021;1.22;0.224;0.0322;103.54;15.01;7.22;0.16;-0.05;0.0249;11.77
97;16:07:04;19-4-2021;1.22;0.224;0.0322;103.45;15;7.22;0.17;-0.05;0.025;11.77
98;16:07:05;19-4-2021;1.2;0.224;0.0322;103.42;14.99;7.22;0.16;-0.05;0.0249;11.77
99;16:07:05;19-4-2021;1.26;0.224;0.0322;103.35;14.98;7.22;0.16;-0.05;0.025;11.77
100;16:07:05;19-4-2021;1.29;0.224;0.0322;103.29;14.97;7.22;0.17;-0.05;0.025;11.77
101;16:07:05;19-4-2021;1.31;0.224;0.0322;103.36;14.98;7.22;0.23;-0.05;0.025;11.77
102;16:07:05;19-4-2021;1.35;0.224;0.0323;103.3;14.98;7.22;0.23;-0.05;0.025;11.76
103;16:07:05;19-4-2021;1.35;0.224;0.0323;103.22;14.96;7.22;0.19;-0.05;0.025;11.76
104;16:07:05;19-4-2021;1.36;0.224;0.0323;103.17;14.96;7.22;0.17;-0.05;0.025;11.77
105;16:07:06;19-4-2021;1.38;0.226;0.0323;103.11;14.95;7.22;0.18;-0.05;0.025;11.77
106;16:07:06;19-4-2021;1.4;0.229;0.0323;103.04;14.93;7.22;0.18;-0.05;0.025;11.77
107;16:07:06;19-4-2021;1.44;0.231;0.0323;102.95;14.92;7.22;0.17;-0.05;0.025;11.77
108;16:07:06;19-4-2021;1.52;0.231;0.0323;103;14.93;7.22;0.17;-0.05;0.025;11.77
