Date;Zone;Quantum;divided.10000
6-2-2021 08:24;WATER;4090;0,409
6-2-2021 08:38;WATER;4810;0,481
6-2-2021 08:38;WATER;5351;0,5351
6-2-2021 08:38;WATER;5567;0,5567
6-2-2021 08:52;WATER;5225;0,5225
6-2-2021 08:52;WATER;5657;0,5657
6-2-2021 08:52;WATER;5999;0,5999
6-2-2021 09:07;WATER;6396;0,6396
6-2-2021 09:07;WATER;7801;0,7801
6-2-2021 09:07;WATER;8125;0,8125
6-2-2021 09:21;WATER;9026;0,9026
6-2-2021 09:21;WATER;10377;1,0377
6-2-2021 09:21;WATER;13115;1,3115
6-2-2021 09:36;WATER;15096;1,5096
6-2-2021 09:36;WATER;16916;1,6916
6-2-2021 09:36;WATER;18915;1,8915
6-2-2021 09:50;WATER;21059;2,1059
6-2-2021 09:50;WATER;22716;2,2716
6-2-2021 10:04;WATER;22518;2,2518
6-2-2021 10:04;WATER;23077;2,3077
6-2-2021 10:04;WATER;24158;2,4158
6-2-2021 10:19;WATER;27508;2,7508
6-2-2021 10:19;WATER;30571;3,0571
6-2-2021 10:19;WATER;35056;3,5056
6-2-2021 10:33;WATER;30390;3,039
6-2-2021 10:33;WATER;38010;3,801
6-2-2021 10:33;WATER;39524;3,9524
6-2-2021 10:48;WATER;42460;4,246
6-2-2021 10:48;WATER;42568;4,2568
6-2-2021 10:48;WATER;42027;4,2027
6-2-2021 11:02;WATER;40280;4,028
6-2-2021 11:02;WATER;41397;4,1397
6-2-2021 11:02;WATER;39650;3,965
6-2-2021 11:16;WATER;35957;3,5957
6-2-2021 11:16;WATER;37380;3,738
6-2-2021 11:16;WATER;36731;3,6731
6-2-2021 11:31;WATER;32804;3,2804
6-2-2021 11:31;WATER;34966;3,4966
6-2-2021 11:31;WATER;32588;3,2588
6-2-2021 11:45;WATER;31976;3,1976
6-2-2021 11:45;WATER;32066;3,2066
6-2-2021 12:00;WATER;36083;3,6083
6-2-2021 12:00;WATER;36011;3,6011
6-2-2021 12:00;WATER;36335;3,6335
6-2-2021 12:14;WATER;34858;3,4858
6-2-2021 12:14;WATER;30390;3,039
6-2-2021 12:14;WATER;33831;3,3831
6-2-2021 12:28;WATER;38929;3,8929
6-2-2021 12:28;WATER;34786;3,4786
6-2-2021 12:28;WATER;32354;3,2354
6-2-2021 12:43;WATER;30895;3,0895
6-2-2021 12:43;WATER;26824;2,6824
6-2-2021 12:43;WATER;28679;2,8679
6-2-2021 12:57;WATER;27616;2,7616
6-2-2021 12:57;WATER;26986;2,6986
6-2-2021 12:57;WATER;27796;2,7796
6-2-2021 13:12;WATER;29075;2,9075
6-2-2021 13:12;WATER;28463;2,8463
6-2-2021 13:12;WATER;33813;3,3813
6-2-2021 13:26;WATER;34696;3,4696
6-2-2021 13:26;WATER;33687;3,3687
6-2-2021 13:26;WATER;34570;3,457
6-2-2021 13:40;WATER;29796;2,9796
6-2-2021 13:40;WATER;25635;2,5635
6-2-2021 13:55;WATER;24212;2,4212
6-2-2021 13:55;WATER;23707;2,3707
6-2-2021 13:55;WATER;22933;2,2933
6-2-2021 14:09;WATER;23275;2,3275
6-2-2021 14:09;WATER;21077;2,1077
6-2-2021 14:09;WATER;18573;1,8573
6-2-2021 14:24;WATER;17402;1,7402
6-2-2021 14:24;WATER;16411;1,6411
6-2-2021 14:24;WATER;12683;1,2683
6-2-2021 14:38;WATER;11440;1,144
6-2-2021 14:38;WATER;9332;0,9332
6-2-2021 14:38;WATER;8990;0,899
6-2-2021 14:52;WATER;6900;0,69
6-2-2021 14:52;WATER;6882;0,6882
6-2-2021 14:52;WATER;5873;0,5873
6-2-2021 15:07;WATER;6161;0,6161
6-2-2021 15:07;WATER;5405;0,5405
6-2-2021 15:07;WATER;5171;0,5171
6-2-2021 15:21;WATER;5531;0,5531
6-2-2021 15:21;WATER;4991;0,4991
6-2-2021 15:21;WATER;4792;0,4792
6-2-2021 15:36;WATER;4756;0,4756
6-2-2021 15:36;WATER;3567;0,3567
6-2-2021 15:36;WATER;4324;0,4324
6-2-2021 15:50;WATER;4018;0,4018
6-2-2021 15:50;WATER;3748;0,3748
6-2-2021 16:04;WATER;2973;0,2973
6-2-2021 16:04;WATER;3243;0,3243
6-2-2021 16:04;WATER;2361;0,2361
6-2-2021 16:19;WATER;4378;0,4378
6-2-2021 16:19;WATER;3982;0,3982
6-2-2021 16:19;WATER;4018;0,4018
6-2-2021 16:33;WATER;2955;0,2955
6-2-2021 16:33;WATER;3640;0,364
6-2-2021 16:33;WATER;4198;0,4198
6-2-2021 16:48;WATER;3910;0,391
6-2-2021 16:48;WATER;3081;0,3081
6-2-2021 16:48;WATER;3694;0,3694
6-2-2021 17:02;WATER;4054;0,4054
6-2-2021 17:02;WATER;3531;0,3531
6-2-2021 17:02;WATER;3261;0,3261
6-2-2021 17:16;WATER;3964;0,3964
6-2-2021 17:16;WATER;3640;0,364
6-2-2021 17:16;WATER;3441;0,3441
6-2-2021 17:31;WATER;2703;0,2703
6-2-2021 17:31;WATER;3640;0,364
6-2-2021 17:31;WATER;3621;0,3621
6-2-2021 17:45;WATER;3748;0,3748
6-2-2021 17:45;WATER;2955;0,2955
6-2-2021 18:00;WATER;3333;0,3333
6-2-2021 18:00;WATER;2775;0,2775
6-2-2021 18:00;WATER;3513;0,3513
6-2-2021 18:14;WATER;3585;0,3585
6-2-2021 18:14;WATER;3027;0,3027
6-2-2021 18:14;WATER;3297;0,3297
6-2-2021 18:28;WATER;3351;0,3351
6-2-2021 18:28;WATER;3766;0,3766
6-2-2021 18:28;WATER;3766;0,3766
6-2-2021 18:43;WATER;3387;0,3387
6-2-2021 18:43;WATER;4360;0,436
6-2-2021 18:43;WATER;3117;0,3117
6-2-2021 18:57;WATER;3549;0,3549
6-2-2021 18:57;WATER;3748;0,3748
6-2-2021 18:57;WATER;3928;0,3928
6-2-2021 19:12;WATER;3315;0,3315
6-2-2021 19:12;WATER;3838;0,3838
6-2-2021 19:12;WATER;3315;0,3315
6-2-2021 19:26;WATER;3784;0,3784
6-2-2021 19:26;WATER;3982;0,3982
6-2-2021 19:26;WATER;3333;0,3333
6-2-2021 19:40;WATER;3694;0,3694
6-2-2021 19:40;WATER;4072;0,4072
6-2-2021 19:55;WATER;3946;0,3946
6-2-2021 19:55;WATER;3207;0,3207
6-2-2021 19:55;WATER;3423;0,3423
6-2-2021 20:09;WATER;2955;0,2955
6-2-2021 20:09;WATER;3477;0,3477
6-2-2021 20:09;WATER;4198;0,4198
6-2-2021 20:24;WATER;2991;0,2991
6-2-2021 20:24;WATER;3279;0,3279
6-2-2021 20:24;WATER;3135;0,3135
6-2-2021 20:38;WATER;4000;0,4
6-2-2021 20:38;WATER;3946;0,3946
6-2-2021 20:38;WATER;3676;0,3676
6-2-2021 20:52;WATER;3459;0,3459
6-2-2021 20:52;WATER;3441;0,3441
6-2-2021 20:52;WATER;3585;0,3585
6-2-2021 21:07;WATER;3964;0,3964
6-2-2021 21:07;WATER;3856;0,3856
6-2-2021 21:07;WATER;3261;0,3261
6-2-2021 21:21;WATER;3856;0,3856
6-2-2021 21:21;WATER;3892;0,3892
6-2-2021 21:21;WATER;3964;0,3964
6-2-2021 21:36;WATER;3423;0,3423
6-2-2021 21:36;WATER;4252;0,4252
6-2-2021 21:36;WATER;3243;0,3243
6-2-2021 21:50;WATER;4054;0,4054
6-2-2021 21:50;WATER;3694;0,3694
6-2-2021 22:04;WATER;3640;0,364
6-2-2021 22:04;WATER;3946;0,3946
6-2-2021 22:04;WATER;3964;0,3964
6-2-2021 22:19;WATER;3946;0,3946
6-2-2021 22:19;WATER;3477;0,3477
6-2-2021 22:19;WATER;3964;0,3964
6-2-2021 22:33;WATER;3838;0,3838
6-2-2021 22:33;WATER;2541;0,2541
6-2-2021 22:33;WATER;3874;0,3874
6-2-2021 22:48;WATER;3369;0,3369
6-2-2021 22:48;WATER;3549;0,3549
6-2-2021 22:48;WATER;3549;0,3549
6-2-2021 23:02;WATER;3838;0,3838
6-2-2021 23:02;WATER;4144;0,4144
6-2-2021 23:02;WATER;3423;0,3423
6-2-2021 23:16;WATER;3928;0,3928
6-2-2021 23:16;WATER;3585;0,3585
6-2-2021 23:16;WATER;3495;0,3495
6-2-2021 23:31;WATER;3838;0,3838
6-2-2021 23:31;WATER;4486;0,4486
6-2-2021 23:31;WATER;3207;0,3207
6-2-2021 23:45;WATER;3856;0,3856
6-2-2021 23:45;WATER;3820;0,382
7-2-2021 00:00;WATER;3477;0,3477
7-2-2021 00:00;WATER;3820;0,382
7-2-2021 00:00;WATER;4198;0,4198
7-2-2021 00:14;WATER;3405;0,3405
7-2-2021 00:14;WATER;3928;0,3928
7-2-2021 00:14;WATER;3531;0,3531
7-2-2021 00:28;WATER;4018;0,4018
7-2-2021 00:28;WATER;3261;0,3261
7-2-2021 00:28;WATER;3784;0,3784
7-2-2021 00:43;WATER;3928;0,3928
7-2-2021 00:43;WATER;3640;0,364
7-2-2021 00:43;WATER;3874;0,3874
7-2-2021 00:57;WATER;3621;0,3621
7-2-2021 00:57;WATER;4000;0,4
7-2-2021 00:57;WATER;4054;0,4054
7-2-2021 01:12;WATER;3333;0,3333
7-2-2021 01:12;WATER;3567;0,3567
7-2-2021 01:12;WATER;3081;0,3081
7-2-2021 01:26;WATER;4432;0,4432
7-2-2021 01:26;WATER;4252;0,4252
7-2-2021 01:26;WATER;3405;0,3405
7-2-2021 01:40;WATER;3423;0,3423
7-2-2021 01:40;WATER;3910;0,391
7-2-2021 01:55;WATER;3802;0,3802
7-2-2021 01:55;WATER;3261;0,3261
7-2-2021 01:55;WATER;3802;0,3802
7-2-2021 02:09;WATER;4414;0,4414
7-2-2021 02:09;WATER;3279;0,3279
7-2-2021 02:09;WATER;3459;0,3459
7-2-2021 02:24;WATER;3982;0,3982
7-2-2021 02:24;WATER;3297;0,3297
7-2-2021 02:24;WATER;4072;0,4072
7-2-2021 02:38;WATER;3694;0,3694
7-2-2021 02:38;WATER;3279;0,3279
7-2-2021 02:38;WATER;3351;0,3351
7-2-2021 02:52;WATER;3658;0,3658
7-2-2021 02:52;WATER;3369;0,3369
7-2-2021 02:52;WATER;3477;0,3477
7-2-2021 03:07;WATER;3621;0,3621
7-2-2021 03:07;WATER;3441;0,3441
7-2-2021 03:07;WATER;3712;0,3712
7-2-2021 03:21;WATER;4450;0,445
7-2-2021 03:21;WATER;3694;0,3694
7-2-2021 03:21;WATER;3964;0,3964
7-2-2021 03:36;WATER;3603;0,3603
7-2-2021 03:36;WATER;3928;0,3928
7-2-2021 03:36;WATER;3730;0,373
7-2-2021 03:50;WATER;3838;0,3838
7-2-2021 03:50;WATER;3513;0,3513
7-2-2021 04:04;WATER;3748;0,3748
7-2-2021 04:04;WATER;3423;0,3423
7-2-2021 04:04;WATER;3658;0,3658
7-2-2021 04:19;WATER;3351;0,3351
7-2-2021 04:19;WATER;3928;0,3928
7-2-2021 04:19;WATER;3333;0,3333
7-2-2021 04:33;WATER;3459;0,3459
7-2-2021 04:33;WATER;3477;0,3477
7-2-2021 04:33;WATER;3856;0,3856
7-2-2021 04:48;WATER;3676;0,3676
7-2-2021 04:48;WATER;3748;0,3748
7-2-2021 04:48;WATER;3603;0,3603
7-2-2021 05:02;WATER;3513;0,3513
7-2-2021 05:02;WATER;3459;0,3459
7-2-2021 05:02;WATER;3045;0,3045
7-2-2021 05:16;WATER;2703;0,2703
7-2-2021 05:16;WATER;3459;0,3459
7-2-2021 05:16;WATER;4090;0,409
7-2-2021 05:31;WATER;3207;0,3207
7-2-2021 05:31;WATER;3784;0,3784
7-2-2021 05:31;WATER;3495;0,3495
7-2-2021 05:45;WATER;3928;0,3928
7-2-2021 05:45;WATER;4180;0,418
7-2-2021 06:00;WATER;4018;0,4018
7-2-2021 06:00;WATER;4252;0,4252
7-2-2021 06:00;WATER;3784;0,3784
7-2-2021 06:14;WATER;3423;0,3423
7-2-2021 06:14;WATER;3243;0,3243
7-2-2021 06:14;WATER;3982;0,3982
7-2-2021 06:28;WATER;3081;0,3081
7-2-2021 06:28;WATER;3712;0,3712
7-2-2021 06:28;WATER;3658;0,3658
7-2-2021 06:43;WATER;4288;0,4288
7-2-2021 06:43;WATER;4054;0,4054
7-2-2021 06:43;WATER;4054;0,4054
7-2-2021 06:57;WATER;3351;0,3351
7-2-2021 06:57;WATER;2973;0,2973
7-2-2021 06:57;WATER;3820;0,382
7-2-2021 07:12;WATER;3189;0,3189
7-2-2021 07:12;WATER;3784;0,3784
7-2-2021 07:12;WATER;3297;0,3297
7-2-2021 07:26;WATER;3495;0,3495
7-2-2021 07:26;WATER;3387;0,3387
7-2-2021 07:26;WATER;3603;0,3603
7-2-2021 07:40;WATER;3712;0,3712
7-2-2021 07:40;WATER;3856;0,3856
7-2-2021 07:55;WATER;3225;0,3225
7-2-2021 07:55;WATER;4000;0,4
7-2-2021 07:55;WATER;3694;0,3694
7-2-2021 08:09;WATER;4432;0,4432
7-2-2021 08:09;WATER;4216;0,4216
7-2-2021 08:09;WATER;4126;0,4126
7-2-2021 08:24;WATER;4144;0,4144
7-2-2021 08:24;WATER;4252;0,4252
7-2-2021 08:24;WATER;4414;0,4414
7-2-2021 08:38;WATER;4486;0,4486
7-2-2021 08:38;WATER;4576;0,4576
7-2-2021 08:38;WATER;4738;0,4738
7-2-2021 08:52;WATER;5261;0,5261
7-2-2021 08:52;WATER;5657;0,5657
7-2-2021 08:52;WATER;6414;0,6414
7-2-2021 09:07;WATER;5945;0,5945
7-2-2021 09:07;WATER;6342;0,6342
7-2-2021 09:07;WATER;6756;0,6756
7-2-2021 09:21;WATER;7170;0,717
7-2-2021 09:21;WATER;8521;0,8521
7-2-2021 09:21;WATER;8539;0,8539
7-2-2021 09:36;WATER;11782;1,1782
7-2-2021 09:36;WATER;11998;1,1998
7-2-2021 09:36;WATER;14682;1,4682
7-2-2021 09:50;WATER;15997;1,5997
7-2-2021 09:50;WATER;22446;2,2446
7-2-2021 10:04;WATER;20194;2,0194
7-2-2021 10:04;WATER;21059;2,1059
7-2-2021 10:04;WATER;24067;2,4067
7-2-2021 10:19;WATER;24374;2,4374
